developer_key,developer_name
1067,Beamdog
1068,Bear & Cat Studio
1069,Bear Minimum Games
1070,Beard Envy
1071,Beardlings LLC
1072,BearfoxBear
1073,Bearhammer Games LTD
1074,Bearlex Games
1075,Bearly Playing Games
1076,Bearplane
1077,Bears & Guts
1078,Beast Of World
1079,Beatshapers
1080,Beatshapers Ltd.
1081,Beau Blyth
1082,Beautiful Glitch
1083,BeautifulBee
1084,Bedrock Tribes
1085,Bedtime Digital Games
1086,Bee Braun
1087,Beef Cat
1088,Beem Media
1089,Beenox
1090,"Beep Games, Inc."
1091,Beer Night Studio
1092,BeetBomb
1093,Beethoven
1094,Beethoven and Dinosaur
1095,Beetlewing
1096,BefuddleBug
1097,Befun Studio
1098,Behaviour Interactive Inc.
1099,Behold Studios
1100,"Beijing Changyou Chuangxiang Software Technology Co., Ltd."
1101,"Beijing Lanxii Play Technology Co., Ltd"
1102,"Beijing Litchi Culture Media Co., Ltd."
1103,"Beijing Pixel Software Technology Joint-Stock Co., Ltd."
1104,"Beijing Xianfan Culture Co., Ltd."
1105,BekkerDev Studio
1106,Belleal Games
1107,Ben Fredericks [Collaborations]
1108,Ben Lapid
1109,Ben Lega
1110,Ben Nichols
1111,Ben Olding Games
1112,Ben Outram
1113,Ben Reber
1114,Ben Ridge
1115,Ben Thomas
1116,Ben Wade
1117,BenStar
1118,Bend Studio
1119,Bendegúz Anisics
1120,Beneath the Night Productions
1121,Benedict Ide
1122,Benevolent Banana Studio
1123,Beni Games
1124,"Benjamin ""ThingOnItsOwn"" Hauer"
1125,Benjamin B
1126,Benjamin Chen
1127,Benjamin Rommel Games
1128,Benjamin Schade
1129,Benjamin Staugaard
1130,Benjer Software
1131,Benn Powell
1132,Bennett Skolnick - Composer
1133,Benoit Dereau
1134,Beowulf
1135,Berg Games
1136,Bergamot Digital
1137,Beribo Games
1138,BerilyTeam
1139,Bernardo Barreiros Fialho
1140,Berry Berry Niceu
1141,Berzah Games
1142,Berzerk Studio
1143,Best Games Collection
1144,Best Ride Simulators
1145,Betagames Group
1146,Bethesda Game Studios
1147,Bethesda Softworks
1148,Bethuel K. Okelo
1149,Better Than Life
1150,Bevan McKechnie
1151,Bew Games
1152,Beyond Fun Studio
1153,Beyond Reality
1154,BeyondTheWind
1155,Bezbro Games
1156,BiKouZ
1157,Bibiki
1158,Bible Games
1159,Biduba Version
1160,Big Ant Studios
1161,Big Bad Wolf
1162,Big Bang Studio
1163,Big Blaze Games
1164,Big Blue Bubble
1165,Big Blue Studios
1166,"Big Boot Stoodts, LLC"
1167,Big Cheese Studio
1168,Big City Lab
1169,Big Deal Studios
1170,Big Fat Cat Studio
1171,Big Heart Productions
1172,Big Honk Studios
1173,Big Huge Games
1174,Big Kitty Games
1175,Big Loop Studios
1176,Big Mind Games 9000
1177,Big Play Games
1178,Big Reef Games
1179,Big Scorch
1180,Big Sir Games
1181,Big Trouble
1182,Big Village Games Ltd
1183,Big Way Games
1184,Big Z Studios Inc.
1185,BigBread
1186,BigLight.Games
1187,BigWednesday
1188,Bigboot Studios
1189,Bigitec Studio
1190,Bigosaur
1191,Bikkuri Software
1192,Bil Deerbuch
1193,Binary Brew Studios
1194,Binary Charm
1195,Binary Impact
1196,Binary Tree Studio
1197,Binge Gaming OU
1198,Binogure Studio 🐺
1199,Binx.tv
1200,BioSamurai
1201,BioWare
1202,Bipolar Dawn
1203,Bippinbits
1204,Birbgames
1205,Birch Tree Games
1206,Bird Bath Games
1207,Bird's Eye Games
1208,BirdIsland/PortaPlay
1209,Bird`sEye
1210,BirdyDog Studio
1211,Biro Pivo
1212,Biscuit Play
1213,BiscuitLocker
1214,Bismuth Studio
1215,BisquitPlay
1216,Bissonho
1217,Bit Ink Studios
1218,Bit Loom Games
1219,"Bit Planet Games, LLC"
1220,Bit Rot
1221,BitBros Inc
1222,BitBull Ltd
1223,BitCake Studio
1224,BitCutter Studios Inc.
1225,BitLight
1226,BitNine Studio
1227,Bitbeast Games
1228,Bitfall
1229,Bitfall Studios
1230,Bithell Games
1231,Bitkumsa
1232,Bitlife
1233,Bitmap Bureau
1234,Bitmap Galaxy
1235,Bitmen Studios
1236,Bitrich.info
1237,Bitslo
1238,Bitten Toast Games
1239,Bitwave Games
1240,Björn Loesing
1241,Blacer Studio
1242,Black Banshee Studios
1243,Black Beach Studio
1244,Black Bricks Studio
1245,Black Cardinal Software LLC
1246,Black Cube Games
1247,Black Curtain Studio
1248,Black Cyc
1249,Black Deck Crew
1250,Black Drakkar Games
1251,Black Eye Games
1252,Black Eyed Priest
1253,Black Flag Studios
1254,Black Flamingo
1255,Black Forest Games
1256,Black Hammer Studios
1257,Black Hole Games
1258,Black Isle Studios
1259,Black Ivy Games
1260,Black Mastiff Studios
1261,Black Mermaid
1262,Black Pants Studio
1263,Black Salt Games
1264,Black Sea Games
1265,Black Sheep Studio
1266,Black Tabby Games
1267,Black Thug
1268,Black Tower Basement
1269,Black Train
1270,Black Vein Productions
1271,BlackChiliGoat Studio
1272,BlackHawk Games
1273,BlackLock Games
1274,BlackMill Games
1275,BlackPixel Studio
1276,BlackRobe
1277,BlackTale Games
1278,BlackWhite
1279,Blackbird Interactive
1280,Blackburne Games Yazılım A.Ş.
